pair,direction,entry_price,exit_price,position_size,entry_time,exit_time,exit_reason,pnl,pnl_pct,confidence,entry_balance,exit_balance,duration_hours
EURUSD=X,buy,1.0411244630813599,1.048657774925232,1417.1717482962865,2024-11-22 09:00:00+00:00,2024-11-25 00:00:00+00:00,Take Profit,10.675996716241304,0.7235745687481144,0.8,1475.4521755390433,1486.1281722552847,63.0
EURUSD=X,buy,1.048657774925232,1.045478343963623,1417.1717482962865,2024-11-25 00:00:00+00:00,2024-11-25 07:00:00+00:00,Stop Loss,-4.505799734450609,-0.3031905200755868,0.73,1486.1281722552847,1481.622372520834,7.0
USDJPY=X,buy,154.69400024414062,154.42300415039062,9.577762357832322,2024-11-25 08:00:00+00:00,2024-11-25 09:00:00+00:00,Stop Loss,-2.5955361858383488,-0.1751820324785121,0.75,1481.622372520834,1479.0268363349956,1.0
EURUSD=X,sell,1.0492078065872192,1.0530749559402466,1409.6605334512883,2024-11-25 09:00:00+00:00,2024-11-25 13:00:00+00:00,Stop Loss,-5.45136781992433,-0.36857801941124546,0.8,1479.0268363349956,1473.5754685150712,4.0
EURUSD=X,sell,1.0530749559402466,1.0490977764129639,1399.307295461582,2024-11-25 13:00:00+00:00,2024-11-25 15:00:00+00:00,Take Profit,5.5652963278871495,0.3776729761588203,0.8,1473.5754685150712,1479.1407648429583,2.0
EURUSD=X,buy,1.0490977764129639,1.0463534593582153,1409.9169763760071,2024-11-25 15:00:00+00:00,2024-11-25 23:00:00+00:00,Stop Loss,-3.869259204048164,-0.2615883015338954,0.73,1479.1407648429583,1475.2715056389102,8.0
EURUSD=X,sell,1.0463534593582153,1.049428105354309,1409.9169763760071,2024-11-25 23:00:00+00:00,2024-11-26 08:00:00+00:00,Stop Loss,-4.3349955862390965,-0.2938439175209107,0.73,1475.2715056389102,1470.936510052671,9.0
GBPUSD=X,buy,1.2553036212921143,1.259049415588379,1171.7774768614152,2024-11-26 08:00:00+00:00,2024-11-26 10:00:00+00:00,Take Profit,4.38923738931887,0.29839747394411337,0.75,1470.936510052671,1475.32574744199,2.0
EURUSD=X,buy,1.0519671440124512,1.048327922821045,1402.44470166126,2024-11-26 10:00:00+00:00,2024-11-26 15:00:00+00:00,Stop Loss,-5.103806478061074,-0.3459443778372584,0.73,1475.32574744199,1470.2219409639288,5.0
USDJPY=X,sell,153.46200561523438,153.05499267578125,9.580364436589756,2024-11-26 15:00:00+00:00,2024-11-26 20:00:00+00:00,Take Profit,3.8993322903685783,0.26522065694462704,0.73,1470.2219409639288,1474.1212732542974,5.0
USDJPY=X,buy,153.05499267578125,152.5449981689453,9.631317786391662,2024-11-26 20:00:00+00:00,2024-11-27 01:00:00+00:00,Stop Loss,-4.9119191646510085,-0.3332099776165203,0.8,1474.1212732542974,1469.2093540896465,5.0
EURUSD=X,buy,1.0488777160644531,1.0532968044281006,1400.744177884092,2024-11-27 02:00:00+00:00,2024-11-27 10:00:00+00:00,Take Profit,6.190012296934521,0.4213158784828174,0.8,1469.2093540896465,1475.399366386581,8.0
EURUSD=X,sell,1.0528532266616821,1.057305932044983,1401.334325644497,2024-11-27 11:00:00+00:00,2024-11-27 13:00:00+00:00,Stop Loss,-6.239728895601422,-0.42291795955445055,0.72,1475.399366386581,1469.1596374909795,2.0
EURUSD=X,sell,1.0560777187347412,1.0583131313323975,1391.1472720503382,2024-11-27 14:00:00+00:00,2024-11-29 06:00:00+00:00,Stop Loss,-3.1097881371364524,-0.21167122059297291,0.72,1469.1596374909795,1466.049849353843,40.0
EURUSD=X,sell,1.0583131313323975,1.0549635887145996,1385.270394885975,2024-11-29 06:00:00+00:00,2024-11-29 16:00:00+00:00,Take Profit,4.640022224844232,0.3164982573334261,0.8,1466.049849353843,1470.6898715786872,10.0
EURUSD=X,sell,1.0549635887145996,1.057753324508667,1394.0669491452509,2024-11-29 16:00:00+00:00,2024-11-29 18:00:00+00:00,Stop Loss,-3.8890784673568204,-0.26443905968986886,0.73,1470.6898715786872,1466.8007931113304,2.0
GBPUSD=X,buy,1.272782802581787,1.2694060802459717,1152.4360559680615,2024-11-29 18:00:00+00:00,2024-12-02 00:00:00+00:00,Stop Loss,-3.891456570786394,-0.2653023225145632,0.75,1466.8007931113304,1462.909336540544,54.0
EURUSD=X,sell,1.0539628267288208,1.0504201650619507,1388.008475669838,2024-12-02 00:00:00+00:00,2024-12-02 08:00:00+00:00,Take Profit,4.917244420046359,0.3361277624814776,0.75,1462.909336540544,1467.8265809605905,8.0
EURUSD=X,buy,1.0504201650619507,1.0475592613220215,1397.3709090723924,2024-12-02 08:00:00+00:00,2024-12-02 14:00:00+00:00,Stop Loss,-3.997743659833472,-0.2723580368204824,0.8,1467.8265809605905,1463.828837300757,6.0
GBPUSD=X,sell,1.2635995149612427,1.2657907009124756,1158.459480214074,2024-12-02 14:00:00+00:00,2024-12-02 23:00:00+00:00,Stop Loss,-2.538400138117658,-0.173408261501281,0.73,1463.828837300757,1461.2904371626394,9.0
USDJPY=X,buy,149.50799560546875,149.88099670410156,9.773995238480662,2024-12-02 23:00:00+00:00,2024-12-03 00:00:00+00:00,Take Profit,3.645710961985165,0.24948571955784332,0.8,1461.2904371626394,1464.9361481246244,1.0
GBPUSD=X,buy,1.265214204788208,1.2689712047576904,1157.8562290721745,2024-12-03 00:00:00+00:00,2024-12-03 08:00:00+00:00,Take Profit,4.350065817289192,0.2969457626435146,0.75,1464.9361481246244,1469.2862139419135,8.0
EURUSD=X,sell,1.0528532266616821,1.049648404121399,1395.5280534216813,2024-12-03 08:00:00+00:00,2024-12-04 03:00:00+00:00,Take Profit,4.472419761203346,0.3043940464944809,0.8,1469.2862139419135,1473.7586337031169,19.0
EURUSD=X,sell,1.049648404121399,1.051745891571045,1404.0498017397706,2024-12-04 03:00:00+00:00,2024-12-04 05:00:00+00:00,Stop Loss,-2.944976837827118,-0.19982762241244806,0.73,1473.7586337031169,1470.8136568652897,2.0
GBPUSD=X,buy,1.2690999507904053,1.2672985792160034,1158.9423322798614,2024-12-04 05:00:00+00:00,2024-12-04 08:00:00+00:00,Stop Loss,-2.087685773739932,-0.1419408749704818,0.75,1470.8136568652897,1468.7259710915498,3.0
EURUSD=X,sell,1.049538254737854,1.0531858205795288,1399.402036525479,2024-12-04 08:00:00+00:00,2024-12-04 15:00:00+00:00,Stop Loss,-5.104411067200495,-0.3475400563256141,0.75,1468.7259710915498,1463.6215600243493,7.0
EURUSD=X,buy,1.0531858205795288,1.0513036251068115,1389.7087592947016,2024-12-04 15:00:00+00:00,2024-12-04 21:00:00+00:00,Stop Loss,-2.615703535140043,-0.17871447145780822,0.75,1463.6215600243493,1461.0058564892092,6.0
GBPUSD=X,buy,1.270147681236267,1.2749898433685303,1150.2645543289698,2024-12-04 21:00:00+00:00,2024-12-05 13:00:00+00:00,Take Profit,5.569767467056325,0.38122827792357056,0.73,1461.0058564892092,1466.5756239562656,16.0
GBPUSD=X,sell,1.2749898433685303,1.2771555185317993,1150.26455432897,2024-12-05 13:00:00+00:00,2024-12-06 11:00:00+00:00,Stop Loss,-2.491099376498985,-0.16985822863869388,0.8,1466.5756239562656,1464.0845245797666,22.0
USDJPY=X,buy,150.50599670410156,149.66000366210938,9.727748771752877,2024-12-06 11:00:00+00:00,2024-12-06 13:00:00+00:00,Stop Loss,-8.229607775150981,-0.562099225624498,0.73,1464.0845245797666,1455.8549168046156,2.0
GBPUSD=X,sell,1.2797051668167114,1.275982141494751,1137.6486979622655,2024-12-06 13:00:00+00:00,2024-12-06 14:00:00+00:00,Take Profit,4.23549491000885,0.2909283652594401,0.8,1455.8549168046156,1460.0904117146245,1.0
USDJPY=X,sell,149.64999389648438,149.86199951171875,9.756702113363236,2024-12-06 14:00:00+00:00,2024-12-06 15:00:00+00:00,Stop Loss,-2.0684756342020996,-0.14166764041502275,0.75,1460.0904117146245,1458.0219360804224,1.0
EURUSD=X,sell,1.0566357374191284,1.0594342947006226,1379.8718749014627,2024-12-06 15:00:00+00:00,2024-12-09 15:00:00+00:00,Stop Loss,-3.8616504830344605,-0.2648554447277848,0.73,1458.0219360804224,1454.1602855973879,72.0
EURUSD=X,buy,1.0594342947006226,1.057305932044983,1372.5818513438892,2024-12-09 15:00:00+00:00,2024-12-09 16:00:00+00:00,Stop Loss,-2.921351954209065,-0.2008961448846704,0.73,1454.1602855973879,1451.2389336431788,1.0
